Bölge,Şehir,İstasyon,Tarih,PM10 (µg/m³),SO2 (µg/m³),NO2 (µg/m³),NOX (µg/m³),NO (µg/m³)
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-23 00:00:56,21.46,3.32,44.89,90.46,29.64
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-24 00:00:56,59.27,7.04,88.07,320.28,151.34
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-25 00:00:56,110.78,5.75,75.68,304.14,149.53
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-26 00:00:56,72.05,2.87,61.79,208.77,95.81
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-27 00:00:56,17.68,2.66,14.64,37.23,14.68
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-28 00:00:56,18.36,2.22,28.53,63.07,22.39
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-29 00:00:56,18.64,2.17,29.19,62.13,21.47
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-30 00:00:56,16.7,2.28,25.64,60.84,23.09
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-01 00:00:56,14.07,1.7,13.92,36.04,14.44
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-02 00:00:56,29.39,2.21,52.73,114.77,40.44
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-03 00:00:56,35.8,4.29,58.76,165.05,69.16
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-04 00:00:56,13.78,1.86,37.64,71.98,22.24
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-05 00:00:56,18.49,2.3,18.73,44.32,16.66
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-06 00:00:56,25.86,2.48,55.25,134.47,51.83
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-07 00:00:56,37.69,2.9,71.44,182.93,72.72
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-08 00:00:56,36.88,2.76,69.39,207.18,89.8
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-05-09 00:00:56,20.8,2.87,25.75,55.51,19.41
